categoria_dettaglio;anno;anno_mese;N_month;sum_abs_month;pf1_count;pf0_count;pf_na_count;pf1_share;med_N_month_base;med_sum_abs_base;mad_sum_abs_base;mean_active_months_per_year;cadence_type;amount_band_low;amount_band_high;p_active_moy;active_months_in_year;delta_Hn_month_vs_base;delta_Hn_month_vs_year;delta_Hn_year;label_liv2;severity;reasons_liv2
Auto Aziendali;2015;2015-01;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;1.0;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-02;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;0.9090909090909091;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-03;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;1.0;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-04;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;1.0;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-05;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;1.0;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-06;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;1.0;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-07;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;0.9090909090909091;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-08;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;0.9090909090909091;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-09;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;0.9090909090909091;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
Auto Aziendali;2015;2015-10;1.0;80.0;0;1;0;0.0;1.0;80.0;0.0;11.363636363636363;fixed;64.0;96.0;0.9090909090909091;12;0.7070001737435803;0.5048429598490127;0.20215721389456762;expected_fixed;0;fixed_one_payment_in_band [64.00,96.00]|entropy_shift_vs_base=+0.707|entropy_shift_vs_year=+0.505
